sample_ID,Region,batch_ID,site,lat,long,blade_location,sample_wet_wt,sample_dry_wt,wet_minus_dry,moisture_content,sample_width,Total_As,Total_As_wet,Inorganic_As,iAs_wet,percent_iAs_to_totAs,Cd,Cd_wet,Hg,Hg_wet,Pb,Pb_wet,P,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Se,Sr,Mo,Ag,Tl
ATL_1B,GLH,batch_1,ATL,42.6070,-70.6310,bottom,2.25,0.370,1.8800,0.1644,10,76.0972,0.6358,0.2013,0.0017,0.2645,2.1633,0.0181,0.1421,0.0012,1.2313,0.0103,3933.1913,2.4698,0.1398,4.5406,29.0313,0.0758,0.8451,5.8790,59.8555,0.0125,753.1801,0.1909,0.0217,0.0149
ATL_1T,GLH,batch_1,ATL,42.6070,-70.6310,top,3.22,0.648,2.5720,0.2012,10,40.5445,0.3239,0.0916,0.0007,0.2260,0.3598,0.0029,0.0460,0.0004,0.7322,0.0058,2053.1667,3.9874,0.1692,3.7334,45.5003,0.0812,0.6388,3.4630,56.8361,0.0888,1492.1547,0.1535,0.0112,0.0028
ATL_2B,GLH,batch_1,ATL,42.6070,-70.6310,bottom,2.45,0.453,1.9970,0.1849,10,69.8122,0.5690,0.1686,0.0014,0.2416,1.7735,0.0145,0.1078,0.0009,3.1253,0.0255,3648.0813,2.9779,0.1451,4.7349,34.5096,0.0788,0.7758,5.7386,62.1542,0.0274,809.4466,0.1692,0.0140,0.0080
ATL_2T,GLH,batch_1,ATL,42.6070,-70.6310,top,2.81,0.580,2.2300,0.2064,10,45.7729,0.3633,0.1251,0.0010,0.2733,0.4562,0.0036,0.0559,0.0004,0.5057,0.0040,2661.7577,3.2723,0.1466,4.0214,42.6536,0.0680,0.4556,3.1170,47.2318,0.0780,960.6063,0.1175,0.0144,0.0016
ATL_3B,GLH,batch_1,ATL,42.6070,-70.6310,bottom,3.50,0.612,2.8880,0.1749,8,68.0502,0.5615,0.1223,0.0010,0.1797,1.7850,0.0147,0.0295,0.0002,0.2211,0.0018,3132.4276,1.8358,0.1315,3.0404,22.4141,0.0556,0.2990,2.3686,21.5843,0.0103,772.2397,0.1826,0.0130,0.0007
ATL_3T,GLH,batch_1,ATL,42.6070,-70.6310,top,3.01,0.882,2.1280,0.2930,8,36.4948,0.2580,0.0709,0.0005,0.1944,0.2452,0.0017,0.0425,0.0003,0.1222,0.0009,1606.3395,3.4600,0.1525,2.6245,24.9370,0.0610,0.1744,0.9048,16.8822,0.0208,1057.6538,0.1151,0.0043,0.0009
BK_1B,SS,batch_1,BK,42.5351,-70.7893,bottom,9.32,1.464,7.8560,0.1571,6,70.4715,0.5940,0.1827,0.0015,0.2592,1.0591,0.0089,0.0214,0.0002,4.8700,0.0411,3828.0806,0.9672,0.2944,4.6171,42.4036,0.0435,0.1955,3.9275,44.0785,0.0205,496.1866,0.2246,0.0218,0.0003
BK_1T,SS,batch_2,BK,42.5351,-70.7893,top,7.42,1.339,6.0810,0.1805,10,43.4285,0.3559,0.0786,0.0006,0.1810,0.2551,0.0021,0.0251,0.0002,2.2947,0.0188,1986.3353,2.0446,0.2901,4.9325,88.1029,0.0684,0.3627,1.5397,61.0773,0.0609,822.7159,0.1775,0.0029,0.0124
BK_2B,SS,batch_1,BK,42.5351,-70.7893,bottom,10.11,1.929,8.1810,0.1908,10,73.0611,0.5912,0.1476,0.0012,0.2021,2.4501,0.0198,0.0257,0.0002,6.6579,0.0539,3571.9849,0.7945,0.1311,4.3954,28.7282,0.0609,0.2877,3.1503,39.7174,0.0413,509.5221,0.2392,0.0297,0.0019
BK_3B,SS,batch_1,BK,42.5351,-70.7893,bottom,8.76,1.444,7.3160,0.1648,9,79.3048,0.6623,0.0621,0.0005,0.0783,1.1425,0.0095,0.0256,0.0002,3.1575,0.0264,3746.5469,0.8058,0.1304,2.5464,18.7877,0.0573,0.2063,4.7316,31.7082,0.0552,524.3648,0.2550,0.0141,0.0014
BK_3T,SS,batch_1,BK,42.5351,-70.7893,top,10.00,1.810,8.1900,0.1810,10,39.5157,0.3236,0.0678,0.0006,0.1716,0.2051,0.0017,0.0296,0.0002,1.5281,0.0125,1952.9036,2.4885,0.2060,3.2821,52.8648,0.0714,0.4372,10.9040,40.6574,0.1084,1094.7416,0.1886,0.0395,0.0030
BK_4B,SS,batch_1,BK,42.5351,-70.7893,bottom,11.81,2.584,9.2260,0.2188,10,79.4144,0.6204,0.1736,0.0014,0.2186,1.8117,0.0142,0.0147,0.0001,0.7292,0.0057,3053.8389,1.3836,0.1456,3.3433,26.6898,0.0452,0.1521,1.5571,25.1855,0.0344,516.0833,0.1284,0.0110,0.0007
BK_4T,SS,batch_2,BK,42.5351,-70.7893,top,7.81,1.483,6.3270,0.1899,10,49.1350,0.3980,0.0715,0.0006,0.1455,0.2871,0.0023,0.0183,0.0001,2.2586,0.0183,1978.8369,2.9364,0.2457,4.0315,66.2158,0.1046,0.4053,1.1671,54.2041,0.0314,1226.8262,0.1892,0.0313,0.0038
BK_5B,SS,batch_1,BK,42.5351,-70.7893,bottom,8.95,1.608,7.3420,0.1797,8,77.8877,0.6389,0.0701,0.0006,0.0900,2.2127,0.0182,0.0086,0.0001,4.0529,0.0332,3573.9013,0.7956,0.1036,3.2326,20.7278,0.0505,0.1964,2.2703,37.9042,0.0362,576.6755,0.1978,0.0169,0.0001
BK_5T,SS,batch_1,BK,42.5351,-70.7893,top,11.23,2.282,8.9480,0.2032,10,47.2638,0.3766,0.1066,0.0008,0.2255,0.4122,0.0033,0.0236,0.0002,0.9392,0.0075,2275.0401,1.8886,0.2215,3.3284,42.2768,0.0592,0.1994,1.0570,24.4891,0.0189,887.5860,0.1509,0.0090,0.0024
BRK_1B,GLH,batch_1,BRK,42.5862,-70.6478,bottom,1.48,0.217,1.2630,0.1466,6,68.7725,0.5869,0.0600,0.0005,0.0872,2.3773,0.0203,0.0505,0.0004,0.8109,0.0069,3809.7379,1.3775,0.1740,6.5954,35.9413,0.0873,0.9349,2.9375,29.8304,0.0413,767.5713,0.1677,0.0510,0.0055
BRK_1T,GLH,batch_1,BRK,42.5862,-70.6478,top,2.25,0.358,1.8920,0.1591,6,34.0224,0.2861,0.1842,0.0015,0.5415,0.4817,0.0041,0.1254,0.0011,0.8348,0.0070,2303.7356,1.3309,0.4957,5.4931,432.1977,0.0845,0.5804,2.1447,44.2895,0.0685,778.2367,0.1512,0.0852,0.0093
BRK_2B,GLH,batch_1,BRK,42.5862,-70.6478,bottom,2.56,0.627,1.9330,0.2449,6,31.8009,0.2401,0.1165,0.0009,0.3664,0.3424,0.0026,0.0455,0.0003,0.1233,0.0009,1383.6071,5.1881,0.1222,3.5119,33.3910,0.0876,0.2780,0.7597,19.5316,0.0275,1212.3753,0.1342,0.0017,0.0022
BRK_2T,GLH,batch_1,BRK,42.5862,-70.6478,top,8.11,1.825,6.2850,0.2250,6,26.0259,0.2017,0.0756,0.0006,0.2903,0.2123,0.0016,0.0182,0.0001,0.1711,0.0013,1446.0668,3.6167,0.1475,2.6526,33.8305,0.0778,0.4540,1.2310,21.4118,0.1365,1053.0988,0.1658,0.0117,0.0019
BRK_3B,GLH,batch_1,BRK,42.5862,-70.6478,bottom,6.27,1.546,4.7240,0.2466,6,33.6732,0.2537,0.1474,0.0011,0.4379,0.3542,0.0027,0.0105,0.0001,0.1429,0.0011,1629.7435,3.8200,0.0983,2.4654,27.7474,0.0710,0.2476,0.9316,16.9442,0.0735,1008.1719,0.1212,0.0083,0.0006
BRK_3T,GLH,batch_1,BRK,42.5862,-70.6478,top,5.00,1.204,3.7960,0.2408,6,35.4309,0.2690,0.0723,0.0005,0.2042,0.3628,0.0028,0.0357,0.0003,0.1268,0.0010,1705.7735,3.7460,0.1153,3.1661,104.6645,0.0874,0.3226,0.7777,15.8374,0.0789,975.5953,0.1178,0.0029,0.0013
BRK_4B,GLH,batch_1,BRK,42.5862,-70.6478,bottom,6.11,1.549,4.5610,0.2535,6,59.8847,0.4470,0.1082,0.0008,0.1806,0.5613,0.0042,0.0028,0.0000,0.1216,0.0009,2564.7458,2.7866,0.0975,2.2948,24.4192,0.0388,0.1451,0.8427,13.5953,0.0000,506.2116,0.0938,0.0125,0.0000
BRK_4T,GLH,batch_1,BRK,42.5862,-70.6478,top,5.91,0.958,4.9520,0.1621,6,47.3366,0.3966,0.0916,0.0008,0.1935,0.3482,0.0029,0.0435,0.0004,0.1674,0.0014,2673.9417,3.1564,0.1519,2.3136,44.0553,0.0796,0.4068,1.0854,18.9237,0.0409,947.6586,0.1419,0.0124,0.0014
BRK_5B,GLH,batch_1,BRK,42.5862,-70.6478,bottom,8.06,1.989,6.0710,0.2468,6,60.0185,0.4521,0.0514,0.0004,0.0856,0.6430,0.0048,0.0249,0.0002,0.1827,0.0014,2472.6680,2.7659,0.1008,2.1676,25.1767,0.0395,0.1493,0.8414,14.3823,0.0758,496.8501,0.0917,0.0108,0.0013
BRK_5T,GLH,batch_1,BRK,42.5862,-70.6478,top,8.41,1.922,6.4880,0.2285,6,44.7604,0.3453,0.1744,0.0013,0.3897,0.3319,0.0026,0.0306,0.0002,0.1743,0.0013,2471.6387,3.6714,0.1547,2.7315,46.3956,0.0727,0.3055,0.9666,19.8731,0.0712,1089.5068,0.1233,0.0172,0.0020
EAG_1B,SS,batch_2,EAG,42.5252,-70.8119,bottom,14.88,1.862,13.0180,0.1251,8,98.8480,0.8648,0.0893,0.0008,0.0904,2.4420,0.0214,0.0336,0.0003,0.8183,0.0072,3581.6480,1.6150,0.1606,4.0831,32.1341,0.0685,0.2220,2.5563,28.2490,-0.0614,821.4574,0.1925,0.0067,0.0016
EAG_1T,SS,batch_2,EAG,42.5252,-70.8119,top,11.10,2.242,8.8580,0.2020,8,50.0791,0.3996,0.0518,0.0004,0.1035,0.1470,0.0012,0.0092,0.0001,0.4009,0.0032,2088.0471,2.3278,0.2484,2.8535,47.0239,0.0950,0.3799,1.2905,30.1052,0.0046,919.1338,0.1506,0.0035,0.0025
EAG_2B,SS,batch_2,EAG,42.5252,-70.8119,bottom,6.85,0.988,5.8620,0.1442,10,121.6162,1.0408,0.0945,0.0008,0.0777,3.1880,0.0273,0.0140,0.0001,0.6001,0.0051,4147.2804,0.6676,0.1423,2.3622,19.7803,0.0992,0.3023,2.1414,23.5659,-0.0680,515.7739,0.1738,0.0176,0.0032
EAG_2T,SS,batch_2,EAG,42.5252,-70.8119,top,13.79,2.537,11.2530,0.1840,6,54.0458,0.4410,0.0589,0.0005,0.1090,0.5644,0.0046,0.0070,0.0001,0.3293,0.0027,2018.1455,1.6170,0.2519,3.0360,43.1317,0.1013,0.4258,1.5718,33.0111,0.0143,829.5689,0.1485,0.0240,0.0023
EAG_3B,SS,batch_2,EAG,42.5252,-70.8119,bottom,8.89,1.200,7.6900,0.1350,10,76.6716,0.6632,0.0899,0.0008,0.1173,1.8961,0.0164,0.0072,0.0001,0.6512,0.0056,3510.8369,0.8237,0.1598,3.0153,23.7775,0.0562,0.2174,1.5795,22.8499,-0.0119,659.0654,0.1601,0.0044,0.0016
EAG_3T,SS,batch_2,EAG,42.5252,-70.8119,top,7.19,1.298,5.8920,0.1805,10,37.4093,0.3066,0.0616,0.0005,0.1647,0.2245,0.0018,0.0132,0.0001,0.6706,0.0055,1832.7579,1.8545,0.3656,4.5443,68.0970,0.0988,0.3987,1.2566,27.9645,0.0818,1103.3113,0.2149,0.0053,0.0030
EAG_4B,SS,batch_2,EAG,42.5252,-70.8119,bottom,7.16,0.909,6.2510,0.1270,10,93.2219,0.8139,0.0572,0.0005,0.0614,2.1397,0.0187,0.0122,0.0001,0.2509,0.0022,3581.6642,0.8022,1.0483,2.6464,27.5939,0.0659,0.2322,2.3894,24.0975,-0.0290,627.8468,0.2909,0.0017,0.0016
EAG_4T,SS,batch_2,EAG,42.5252,-70.8119,top,10.61,1.946,8.6640,0.1834,10,38.9648,0.3182,0.0662,0.0005,0.1699,0.1749,0.0014,0.0044,0.0000,0.3139,0.0026,1886.0647,2.1700,0.2984,2.6866,51.8568,0.1108,0.3041,0.9343,24.5542,0.0219,1549.2514,0.2120,0.0188,0.0026
